RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,5%@204,10%@204,2%@204] EMC_FREQ 26%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@29C POM_5V_IN 5829/5797 POM_5V_GPU 3679/3595 POM_5V_CPU 165/175
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,0%@204,2%@204,6%@204] EMC_FREQ 26%@1600 GR3D_FREQ 95%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@38C thermal@28.5C POM_5V_IN 5797/5797 POM_5V_GPU 3679/3600 POM_5V_CPU 165/174
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,6%@204,4%@204,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@38.5C thermal@28.75C POM_5V_IN 5829/5799 POM_5V_GPU 3720/3606 POM_5V_CPU 165/174
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,4%@204,4%@204,6%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28.5C POM_5V_IN 5912/5805 POM_5V_GPU 3679/3610 POM_5V_CPU 165/173
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [25%@102,5%@204,5%@204,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28.75C POM_5V_IN 5838/5807 POM_5V_GPU 3317/3596 POM_5V_CPU 165/173
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,1%@204,4%@204,7%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 5399/5787 POM_5V_GPU 3276/3580 POM_5V_CPU 207/174
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [26%@204,8%@204,5%@204,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 5408/5770 POM_5V_GPU 3276/3566 POM_5V_CPU 207/176
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,9%@204,2%@204,7%@204] EMC_FREQ 26%@1600 GR3D_FREQ 65%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29C POM_5V_IN 6141/5786 POM_5V_GPU 3539/3565 POM_5V_CPU 164/175
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [26%@204,9%@204,5%@204,9%@204] EMC_FREQ 26%@1600 GR3D_FREQ 65%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@38C thermal@29C POM_5V_IN 6141/5801 POM_5V_GPU 3544/3564 POM_5V_CPU 164/175
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [29%@204,3%@204,5%@204,8%@204] EMC_FREQ 26%@1600 GR3D_FREQ 77%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29C POM_5V_IN 5838/5802 POM_5V_GPU 3638/3567 POM_5V_CPU 165/174
