Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_CPU_TEMP,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_AO,Avrg_GPU_TEMP,num_inferences,Average Inference Time (seconds),Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L7_F256_K2x2_W90,7,33119498,16967020042,ConvNet,90,2127.0,471.0,0.0,4.834745762711864,95.42372881355932,20.47457627118644,25.0,33.84848484848485,50.0,32.0625,6251.033898305085,4155.9152542372885,130.35593220338984,27.291666666666668,42.41666666666666,30.6875,253,0.239907903671265,368811.0,245199.0,7691.0,236.9855332374572,969.1660079051384,30.399209486166008
convnet_L7_F256_K2x2_W100,7,39058698,20395930122,ConvNet,100,2178.423728813559,472.0,0.0,3.7584745762711855,95.10169491525424,21.372881355932204,25.0,34.241379310344826,50.0,32.55232558139535,6288.372881355932,4209.101694915255,131.15254237288136,27.4375,42.57407407407408,31.0,213,0.302548563480377,371014.0,248337.0,7738.0,281.804678440094,1165.9014084507041,36.328638497652584
convnet_L7_F256_K4x4_W40,7,11960586,12506793482,ConvNet,40,1719.0,470.0,0.0,3.809322033898305,95.61016949152544,10.71186440677966,25.0,35.96969696969697,50.0,34.14375,6465.508474576272,4561.152542372882,123.8813559322034,29.0,44.86666666666667,32.22727272727273,438,0.136119377613068,381465.0,269108.0,7309.0,135.86472272872922,614.4018264840182,16.687214611872147
convnet_L7_F256_K4x4_W50,7,14622986,18751058442,ConvNet,50,1732.0169491525423,470.0,0.0,2.9533898305084745,95.1864406779661,11.457627118644067,25.0,35.675,50.0,33.51219512195122,6458.9152542372885,4532.966101694915,134.27118644067798,28.045454545454547,44.06666666666667,31.84210526315789,300,0.206573514938354,381076.0,267445.0,7922.0,199.8773860931396,891.4833333333333,26.406666666666666
convnet_L7_F256_K4x4_W60,7,17797386,26256942602,ConvNet,60,1745.0,470.0,0.0,2.788135593220339,96.49152542372882,15.52542372881356,25.0,35.75,50.0,33.7890625,6782.389830508475,4681.8983050847455,160.23728813559322,28.217391304347824,44.23076923076923,31.75,214,0.28164567232132,400161.0,276232.0,9454.0,279.8478174209595,1290.803738317757,44.177570093457945
convnet_L7_F256_K4x4_W70,7,21483786,35024445962,ConvNet,70,1761.4915254237287,470.0,0.0,2.580508474576271,97.57627118644068,16.06779661016949,25.0,35.925925925925924,50.0,33.90909090909091,6853.118644067797,4745.186440677966,125.61016949152544,28.74074074074074,44.36206896551724,31.96,164,0.366081326007843,404334.0,279966.0,7411.0,366.47978305816645,1707.1097560975609,45.1890243902439
convnet_L7_F256_K4x4_W80,7,25682186,45053568522,ConvNet,80,1781.0677966101696,470.0,0.0,1.7923728813559323,95.66101694915254,11.728813559322036,25.0,36.0,50.0,33.9593023255814,6611.440677966101,4691.0,138.20338983050848,28.55555555555556,44.27272727272727,31.952380952380956,128,0.472186918258667,390075.0,276769.0,8154.0,468.43559980392456,2162.2578125,63.703125
convnet_L7_F512_K3x3_W30,7,18781194,12760473610,ConvNet,30,2015.0,469.0,0.0,4.902542372881356,93.98305084745763,55.67796610169491,25.0,36.11538461538461,50.0,34.58139534883721,7781.033898305085,4981.932203389831,137.6271186440678,29.185185185185187,44.76923076923077,32.645161290322584,682,0.0928391075134277,459081.0,293934.0,8120.0,87.70557641983031,430.9882697947214,11.906158357771261
convnet_L7_F512_K3x3_W40,7,22365194,22685286410,ConvNet,40,2047.7627118644068,469.0,0.0,3.957627118644068,95.40677966101696,58.1864406779661,25.0,36.67741935483871,50.0,34.916666666666664,8059.050847457627,5184.203389830508,126.42372881355932,29.3125,45.54166666666666,33.2,379,0.160665946006775,475484.0,305868.0,7459.0,158.55898141860962,807.0395778364116,19.680738786279683
convnet_L7_F512_K3x3_W50,7,26973194,35445760010,ConvNet,50,2093.35593220339,469.0,0.0,2.9915254237288136,96.64406779661016,56.42372881355932,25.0,36.34285714285714,50.0,34.47222222222222,7742.050847457627,4864.576271186441,161.23728813559322,29.558823529411764,44.71875,32.96666666666667,207,0.292482657432556,456781.0,287010.0,9513.0,290.2320122718811,1386.5217391304348,45.95652173913044
convnet_L7_F512_K1x1_W80,7,46818314,12560386058,ConvNet,80,2239.7758620689656,469.0,0.0,4.896551724137931,94.46551724137932,36.93103448275862,25.0,33.035714285714285,50.0,31.482558139534884,6157.586206896552,3683.137931034483,138.51724137931035,27.074074074074076,40.72222222222222,30.1,257,0.234665033817291,357140.0,213622.0,8034.0,233.6667537689209,831.2140077821011,31.260700389105057
convnet_L7_F512_K1x1_W90,7,56955914,15536846858,ConvNet,90,2328.135593220339,469.0,0.0,4.436440677966102,96.67796610169492,36.03389830508475,25.0,33.06896551724138,50.0,31.3375,6135.050847457627,3679.186440677966,133.40677966101694,27.0,41.0,29.89655172413793,214,0.281611430644989,361968.0,217072.0,7871.0,281.7025899887085,1014.3551401869158,36.7803738317757
